,player1,player2,result,total_rounds
0,2,2,-632,100000
1,2,3,-5369,100000
2,2,4,-6321,100000
3,2,5,-7475,100000
4,2,6,-4643,100000
5,2,7,-5490,100000
6,2,8,-7554,100000
7,2,9,-8497,100000
8,2,10,-8463,100000
9,3,2,1684,100000
10,3,3,-4996,100000
11,3,4,-7330,100000
12,3,5,-5720,100000
13,3,6,-6747,100000
14,3,7,-7406,100000
15,3,8,-6316,100000
16,3,9,-7909,100000
17,3,10,-5913,100000
18,4,2,2433,100000
19,4,3,-5398,100000
20,4,4,-7297,100000
21,4,5,-5995,100000
22,4,6,-7861,100000
23,4,7,-7731,100000
24,4,8,-7825,100000
25,4,9,-8988,100000
26,4,10,-7735,100000
27,5,2,3752,100000
28,5,3,-3814,100000
29,5,4,-4396,100000
30,5,5,-4237,100000
31,5,6,-4756,100000
32,5,7,-4844,100000
33,5,8,-5698,100000
34,5,9,-5231,100000
35,5,10,-3933,100000
36,6,2,403,100000
37,6,3,-2898,100000
38,6,4,-7081,100000
39,6,5,-5471,100000
40,6,6,-6009,100000
41,6,7,-7253,100000
42,6,8,-6029,100000
43,6,9,-6104,100000
44,6,10,-6256,100000
45,7,2,1239,100000
46,7,3,-5140,100000
47,7,4,-5418,100000
48,7,5,-4714,100000
49,7,6,-7382,100000
50,7,7,-6417,100000
51,7,8,-5724,100000
52,7,9,-6071,100000
53,7,10,-5544,100000
54,8,2,2866,100000
55,8,3,-3671,100000
56,8,4,-5473,100000
57,8,5,-4382,100000
58,8,6,-6606,100000
59,8,7,-5310,100000
60,8,8,-5260,100000
61,8,9,-6078,100000
62,8,10,-3951,100000
63,9,2,2106,100000
64,9,3,-4472,100000
65,9,4,-4345,100000
66,9,5,-3520,100000
67,9,6,-5211,100000
68,9,7,-4929,100000
69,9,8,-5510,100000
70,9,9,-5424,100000
71,9,10,-3431,100000
72,10,2,2236,100000
73,10,3,-4252,100000
74,10,4,-4786,100000
75,10,5,-2891,100000
76,10,6,-6879,100000
77,10,7,-7084,100000
78,10,8,-5391,100000
79,10,9,-6749,100000
80,10,10,-5052,100000
