granularity,depth,hand_strength,bet_probability,context
3,2,1,0.09301802342042828,Initial bet
3,2,1,0.335403405136369,Bet after check
3,2,2,0.011664247087163637,Initial bet
3,2,2,0.17137091688894512,Bet after check
3,2,3,0.16460228010727565,Initial bet
3,2,3,0.6661597024501458,Bet after check
5,2,1,0.5704492384688334,Initial bet
5,2,1,0.6216232823594539,Bet after check
5,2,2,0.011226007887791557,Initial bet
5,2,2,0.20056803624931993,Bet after check
5,2,3,0.02185631699559053,Initial bet
5,2,3,0.00127827223362524,Bet after check
5,2,4,0.008864188926737558,Initial bet
5,2,4,0.32722478523444054,Bet after check
5,2,5,0.9408110987334185,Initial bet
5,2,5,0.9990347560325448,Bet after check
7,2,1,0.5495777755786626,Initial bet
7,2,1,0.6443759290294849,Bet after check
7,2,2,0.27241052454301096,Initial bet
7,2,2,0.6471391637151692,Bet after check
7,2,3,0.034013499332435734,Initial bet
7,2,3,0.008696584647705662,Bet after check
7,2,4,0.010823096506791492,Initial bet
7,2,4,0.04854669857321933,Bet after check
7,2,5,0.010066047058571156,Initial bet
7,2,5,0.11188269130307378,Bet after check
7,2,6,0.8339277355799206,Initial bet
7,2,6,0.9960881692405525,Bet after check
7,2,7,0.5034327764605436,Initial bet
7,2,7,0.999777394245238,Bet after check
10,2,1,0.32673052805753455,Initial bet
10,2,1,0.41306388719203235,Bet after check
10,2,2,0.42627310709998184,Initial bet
10,2,2,0.8707603914328848,Bet after check
10,2,3,0.34721500088643553,Initial bet
10,2,3,0.5596814060440652,Bet after check
10,2,4,0.005425531334288098,Initial bet
10,2,4,0.003578436849755421,Bet after check
10,2,5,0.014168907922790618,Initial bet
10,2,5,0.002488414223131918,Bet after check
10,2,6,0.021380667356682925,Initial bet
10,2,6,0.0051211607706784104,Bet after check
10,2,7,0.012240125827833877,Initial bet
10,2,7,0.03468534623080234,Bet after check
10,2,8,0.5273346628231175,Initial bet
10,2,8,0.9901646554954882,Bet after check
10,2,9,0.8802879913956205,Initial bet
10,2,9,0.9989880725061547,Bet after check
10,2,10,0.46326407417498966,Initial bet
10,2,10,0.9999011760055342,Bet after check
5,1,1,0.5490256726905932,Initial bet
5,1,1,0.8111897454320033,Bet after check
5,1,2,0.008381255694691237,Initial bet
5,1,2,0.0043524221433310075,Bet after check
5,1,3,0.007471940852166317,Initial bet
5,1,3,0.41480861160979765,Bet after check
5,1,4,0.9190500374214245,Initial bet
5,1,4,0.9999499424337989,Bet after check
5,1,5,0.7145591211280072,Initial bet
5,1,5,0.9999748617395676,Bet after check
5,2,1,0.5843704606288757,Initial bet
5,2,1,0.6805242468761755,Bet after check
5,2,2,0.00455301972678991,Initial bet
5,2,2,0.19852121768439768,Bet after check
5,2,3,0.016201510068556135,Initial bet
5,2,3,0.0017202167723500647,Bet after check
5,2,4,0.012209173519863835,Initial bet
5,2,4,0.42500196918425476,Bet after check
5,2,5,0.9756203056106721,Initial bet
5,2,5,0.9996353611958958,Bet after check
5,3,1,0.40132182083629553,Initial bet
5,3,1,0.6387468510859922,Bet after check
5,3,2,0.03531698470629556,Initial bet
5,3,2,0.21546254911288285,Bet after check
5,3,3,0.007265517947706376,Initial bet
5,3,3,0.006072023330932307,Bet after check
5,3,4,0.0017595005296681273,Initial bet
5,3,4,0.016890604740245497,Bet after check
5,3,5,0.5391178718861006,Initial bet
5,3,5,0.9931749903691107,Bet after check
5,4,1,0.19614569062367834,Initial bet
5,4,1,0.4747971605506651,Bet after check
5,4,2,0.16125098214553416,Initial bet
5,4,2,0.18554708034300538,Bet after check
5,4,3,0.009397446950803775,Initial bet
5,4,3,0.04978711768551163,Bet after check
5,4,4,0.02180449637629855,Initial bet
5,4,4,0.05967554469253876,Bet after check
5,4,5,0.3309509787212426,Initial bet
5,4,5,0.5924208462639072,Bet after check
