player1_granularity,player2_granularity,player1_depth,player2_depth,game_depth,result
3,3,1,1,1,-0.0306
3,3,1,2,2,-0.03629
3,3,1,3,3,-0.04433
3,3,1,4,4,-0.07081
3,3,2,1,2,-0.02667
3,3,2,2,2,-0.02328
3,3,2,3,3,-0.0269
3,3,2,4,4,-0.04342
3,3,3,1,3,-0.01171
3,3,3,2,3,-0.01706
3,3,3,3,3,-0.0302
3,3,3,4,4,-0.01951
3,3,4,1,4,-0.00739
3,3,4,2,4,-0.02077
3,3,4,3,4,-0.005
3,3,4,4,4,-0.02326
10,10,1,1,1,-0.05816
10,10,1,2,2,-0.08096
10,10,1,3,3,-0.09037
10,10,1,4,4,-0.12396
10,10,2,1,2,-0.02658
10,10,2,2,2,-0.05303
10,10,2,3,3,-0.07742
10,10,2,4,4,-0.08104
10,10,3,1,3,0.00646
10,10,3,2,3,-0.03428
10,10,3,3,3,-0.03355
10,10,3,4,4,-0.05277
10,10,4,1,4,0.02551
10,10,4,2,4,0.00168
10,10,4,3,4,-0.05341
10,10,4,4,4,-0.04713
