player1_granularity,player2_granularity,result,bot_depth,game_depth
3,3,-0.02587,1,1
3,5,-0.04602,1,1
3,7,-0.0582,1,1
3,10,-0.0687,1,1
5,3,-0.02698,1,1
5,5,-0.03927,1,1
5,7,-0.05017,1,1
5,10,-0.05343,1,1
7,3,-0.00982,1,1
7,5,-0.03474,1,1
7,7,-0.0525,1,1
7,10,-0.05676,1,1
10,3,-0.0181,1,1
10,5,-0.04044,1,1
10,7,-0.04423,1,1
10,10,-0.05855,1,1
3,3,-0.02642,2,2
3,5,-0.04833,2,2
3,7,-0.06571,2,2
3,10,-0.07409,2,2
5,3,0.00327,2,2
5,5,-0.03869,2,2
5,7,-0.05193,2,2
5,10,-0.05821,2,2
7,3,-0.01157,2,2
7,5,-0.04818,2,2
7,7,-0.05119,2,2
7,10,-0.05817,2,2
10,3,-0.01166,2,2
10,5,-0.04768,2,2
10,7,-0.05848,2,2
10,10,-0.05834,2,2
