player1,player2,result,total_rounds
2,2,-4387,100000
2,3,-7969,100000
2,4,-14530,100000
2,5,-12194,100000
2,6,-15338,100000
2,7,-12780,100000
2,8,-13316,100000
2,9,-18162,100000
2,10,-17688,100000
3,2,-2853,100000
3,3,-6473,100000
3,4,-6963,100000
3,5,-5798,100000
3,6,-6661,100000
3,7,-6056,100000
3,8,-7948,100000
3,9,-5659,100000
3,10,-7518,100000
4,2,-700,100000
4,3,-6133,100000
4,4,-6245,100000
4,5,-7038,100000
4,6,-4018,100000
4,7,-3617,100000
4,8,-7079,100000
4,9,-5265,100000
4,10,-6284,100000
5,2,-3795,100000
5,3,-5928,100000
5,4,-7853,100000
5,5,-7319,100000
5,6,-9763,100000
5,7,-6894,100000
5,8,-7419,100000
5,9,-8794,100000
5,10,-9906,100000
6,2,-4916,100000
6,3,-5668,100000
6,4,-9201,100000
6,5,-8493,100000
6,6,-8672,100000
6,7,-6797,100000
6,8,-9595,100000
6,9,-8605,100000
6,10,-8139,100000
7,2,-3474,100000
7,3,-6084,100000
7,4,-9302,100000
7,5,-7857,100000
7,6,-8674,100000
7,7,-6304,100000
7,8,-8752,100000
7,9,-8944,100000
7,10,-9291,100000
8,2,-4690,100000
8,3,-6839,100000
8,4,-9545,100000
8,5,-9898,100000
8,6,-9386,100000
8,7,-8282,100000
8,8,-11345,100000
8,9,-11123,100000
8,10,-10579,100000
9,2,-5473,100000
9,3,-7096,100000
9,4,-11204,100000
9,5,-8897,100000
9,6,-10489,100000
9,7,-9557,100000
9,8,-10258,100000
9,9,-9868,100000
9,10,-9941,100000
10,2,-5213,100000
10,3,-7797,100000
10,4,-10127,100000
10,5,-7738,100000
10,6,-8821,100000
10,7,-8306,100000
10,8,-9216,100000
10,9,-7205,100000
10,10,-9857,100000
